date,confirmed_cases
2020-08-03,25.0
2020-08-10,29.0
2020-08-17,27.0
2020-08-24,20.0
2020-08-31,17.0
2020-09-07,33.0
2020-09-14,44.0
2020-09-21,34.0
2020-09-28,32.0
2020-10-05,28.0
2020-10-12,24.0
2020-10-19,28.0
2020-10-26,29.0
2020-11-02,29.0
2020-11-09,28.0
2020-11-16,28.0
2020-11-23,29.0
2020-11-30,29.0
2020-12-07,29.0
2020-12-14,25.0
2020-12-21,29.0
2020-12-28,26.0
2021-01-04,223.0
2021-01-11,123.0
2021-01-18,117.0
2021-01-25,178.0
2021-02-01,229.0
2021-02-08,224.0
2021-02-15,209.0
2021-02-22,226.0
2021-03-01,246.0
2021-03-08,257.0
2021-03-15,312.0
2021-03-22,241.0
2021-03-29,338.0
2021-04-05,432.0
2021-04-12,341.0
2021-04-19,355.0
2021-04-26,344.0
2021-05-03,292.0
2021-05-10,329.0
2021-05-17,324.0
2021-05-24,285.0
2021-05-31,223.0
2021-06-07,238.0
2021-06-14,245.0
2021-06-21,298.0
2021-06-28,238.0
2021-07-05,195.0
2021-07-12,214.0
2021-07-19,194.0
2021-07-26,153.0
2021-08-02,160.0
2021-08-09,160.0
2021-08-16,154.0
2021-08-23,153.0
2021-08-30,164.0
2021-09-06,192.0
2021-09-13,186.0
2021-09-20,149.0
2021-09-27,206.0
2021-10-04,145.0
2021-10-11,156.0
2021-10-18,146.0
2021-10-25,113.0
2021-11-01,93.0
2021-11-08,114.0
2021-11-15,108.0
2021-11-22,97.0
2021-11-29,74.0
2021-12-06,65.0
2021-12-13,35.0
2021-12-20,35.0
2021-12-27,35.0
2022-01-03,35.0
